id,host_id,host_name,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,city,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bed_type,price,has_availability,review_scores_rating,instant_bookable,cancellation_policy
7680289,40335071,Kevin,2.0,t,West Queen Anne,Seattle,98119,United States,47.639810187873806,-122.37380062876858,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,125.00,t,9.5,t,moderate
7207641,6544973,Joe & Anna,1.0,t,West Queen Anne,Seattle,98119,United States,47.63556952470362,-122.3616525946424,House,Entire home/apt,8,3.0,3.0,Real Bed,348.00,t,9.6,f,strict
5062445,21072725,Chris,1.0,f,West Queen Anne,Seattle,98119,United States,47.63497873047923,-122.35886941246471,House,Private room,1,1.0,1.0,Futon,45.00,t,9.7,f,flexible
8925878,40335071,Kevin,2.0,t,West Queen Anne,Seattle,98119,United States,47.63936210298089,-122.37240255654484,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,150.00,t,10.0,t,moderate
6389657,2052160,Ruth,1.0,t,West Queen Anne,Seattle,98109,United States,47.6346162843086,-122.3580227325536,Apartment,Entire home/apt,2,0.0,1.0,Real Bed,80.00,t,9.8,f,flexible
4218733,21896205,Henry,1.0,t,West Queen Anne,Seattle,98119,United States,47.63800137747846,-122.36100481691408,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,110.00,t,9.0,f,moderate
2715623,8242272,Debera,1.0,t,West Queen Anne,Seattle,98119,United States,47.63199585097701,-122.3716576650487,House,Entire home/apt,3,1.0,2.0,Real Bed,148.00,t,9.1,f,strict
1392332,2315558,Holly,1.0,t,West Queen Anne,Seattle,98119,United States,47.63868624334983,-122.37079986877468,House,Entire home/apt,4,2.0,2.0,Real Bed,350.00,t,9.8,f,moderate
7308567,17597607,Nicole,1.0,t,West Queen Anne,Seattle,98119,United States,47.633650043720536,-122.36044969320191,Apartment,Entire home/apt,3,1.0,2.0,Real Bed,150.00,t,9.8,f,moderate
6575380,34392395,Sam,1.0,t,West Queen Anne,Seattle,98109,United States,47.63430017546052,-122.35705980444612,House,Private room,5,1.0,1.0,Real Bed,150.00,t,10.0,f,flexible
6004058,9031463,Marina,1.0,t,West Queen Anne,Seattle,98119,United States,47.62834386974812,-122.36640542137962,Apartment,Entire home/apt,2,0.0,1.0,Futon,100.00,t,9.2,f,flexible
8515408,3502513,Jennifer,1.0,t,West Queen Anne,Seattle,98119,United States,47.63803515893716,-122.36091010563622,Bungalow,Entire home/apt,2,0.0,1.0,Real Bed,110.00,t,10.0,f,moderate
5383192,27606550,Christine,1.0,t,West Queen Anne,Seattle,98119,United States,47.63933158548954,-122.36159942269484,House,Entire home/apt,4,1.0,2.0,Real Bed,160.00,t,10.0,f,moderate
1112092,5856339,Annie,1.0,t,West Queen Anne,Seattle,98119,United States,47.63530805145543,-122.36653170901198,House,Entire home/apt,4,1.0,3.0,Real Bed,130.00,t,9.5,t,moderate
7772661,40885963,Michael,1.0,t,West Queen Anne,Seattle,98119,United States,47.63737488413853,-122.36941092468903,House,Entire home/apt,2,0.0,1.0,Real Bed,99.00,t,10.0,f,moderate
7714294,3521823,Elise,2.0,t,West Queen Anne,Seattle,98119,United States,47.63175343884966,-122.37127173011557,Apartment,Entire home/apt,3,1.0,1.0,Futon,137.00,t,10.0,t,moderate
6361863,25150356,Kurt & Anna,1.0,t,West Queen Anne,Seattle,98119,United States,47.63751734544927,-122.36081167446434,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,145.00,t,9.4,f,moderate
8105221,15155647,Shiri,1.0,t,West Queen Anne,Seattle,98119,United States,47.63687417802139,-122.37227171191188,Townhouse,Private room,2,1.0,1.0,Futon,80.00,t,10.0,f,flexible
3269390,12171359,Diane,3.0,t,West Queen Anne,Seattle,98119,United States,47.632562742655686,-122.36722284674144,House,Entire home/apt,2,0.0,1.0,Real Bed,95.00,t,9.8,t,moderate
